Use springsession;
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (1, 1, '2023-01-01', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (34, 33, '2023-02-03', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (35, 34, '2023-02-04', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (36, 35, '2023-02-05', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (37, 36, '2023-02-06', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (38, 37, '2023-02-07', 14);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (39, 38, '2023-02-08', 6);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (40, 39, '2023-02-09', 13);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (41, 40, '2023-02-10', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (42, 41, '2023-02-11', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (43, 42, '2023-02-12', 15);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (44, 43, '2023-02-13', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (45, 44, '2023-02-14', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (46, 45, '2023-02-15', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (47, 46, '2023-02-16', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (48, 47, '2023-02-17', 14);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (49, 48, '2023-02-18', 6);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (50, 49, '2023-02-19', 13);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (51, 50, '2023-02-20', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (52, 51, '2023-02-21', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (53, 52, '2023-02-22', 15);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (54, 53, '2023-02-23', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (55, 54, '2023-02-24', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (56, 55, '2023-02-25', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (57, 56, '2023-02-26', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (58, 57, '2023-02-27', 14);

